word,pos,loanword,trans
가게,noun,,"shop, store"
가방,noun,,"bag, sack"
가수,noun,歌手,singer
가슴,noun,,chest
가운데,noun,,"center, the middle"
가을,noun,,autumn
가족,noun,家族,family
간호사,noun,看護師,nurse
갈비,noun,,rib
감기,noun,感氣,influenza
감사,noun,感謝,thanks
값,noun,,value
강,noun,江,river
개,noun,,dog
거리,noun,,distance
거울,noun,,mirror
걱정,noun,,"worry, anxiety"
건강,noun,健康,"health, fitness"
건물,noun,建物,building
검은색,noun,,black
게임,noun,game,game
겨울,noun,,winter
결혼,noun,結婚,marriage
결혼식,noun,結婚式,wedding
경찰,noun,警察,the police
나,pronoun,,I (informal)
저,pronoun,,I (formal)
너,pronoun,,you (informal)
거,pronoun,,that ...
거기,pronoun,,there
그,pronoun,,that thing
그거,pronoun,,thing / that
은,particle,,(topic indicator)
는,particle,,(topic indicator)
이,particle,,(subject indicator)
가,particle,,(subject indicator)
을,particle,,(object indicator)
를,particle,,(object indicator)
에,particle,,(locative indicator)
에서,particle,,(locative indicator: place of action)
에게,particle,,(dative indicator: to someone)
한테,particle,,"(dative indicator: to someone, informal)"
와,particle,,(conjunctive particle: and)
과,particle,,"(conjunctive particle: and, formal)"
하고,particle,,(conjunctive particle: and/with)
랑,particle,,"(conjunctive particle: and/with, informal)"
으로,particle,,(directional/means indicator)
로,particle,,"(directional/means indicator, variant)"
까지,particle,,"(limit indicator: until, up to)"
부터,particle,,(starting point indicator: from)
도,particle,,"(additive particle: also, too)"
만,particle,,(restrictive particle: only)
